"co_municipio_ibge";"no_municipio";"co_uf_ibge";"sg_uf"
"312470";ESTRELA DO INDAIA;"31";MG
"351535";EUCLIDES DA CUNHA PAULISTA;"35";SP
"120020";CRUZEIRO DO SUL;"12";AC
"351350";CUBATAO;"35";SP
"250520";CUITEGI;"25";PB
"280190";CUMBE;"28";SE
"290990";CURACA;"29";BA
"420480";CURITIBANOS;"42";SC
"240310";CURRAIS NOVOS;"24";RN
"220325";CURRALINHOS;"22";PI
"210370";CURURUPU;"21";MA
"520670";DAMIANOPOLIS;"52";GO
"170650";DARCINOPOLIS;"17";TO
"312110";DELFIM MOREIRA;"31";MG
"270240";DELMIRO GOUVEIA;"27";AL
"500345";DEODAPOLIS;"50";MS
"410710";DIAMANTE DO NORTE;"41";PR
"312160";DIAMANTINA;"31";MG
"170700";DIANOPOLIS;"17";TO
"520710";DIORAMA;"52";GO
"312200";DIVINO;"31";MG
"312220";DIVINOLANDIA DE MINAS;"31";MG
"170710";DIVINOPOLIS DO TOCANTINS;"17";TO
"312240";DIVISA NOVA;"31";MG
"170720";DOIS IRMAOS DO TOCANTINS;"17";TO
"351420";DOLCINOPOLIS;"35";SP
"312250";DOM CAVATI;"31";MG
"220345";DOM INOCENCIO;"22";PI
"351230";CONCHAS;"35";SP
"250450";CONDADO;"25";PB
"311783";CONEGO MARINHO;"31";MG
"311790";CONGONHAL;"31";MG
"311830";CONSELHEIRO LAFAIETE;"31";MG
"430580";CONSTANTINA;"43";RS
"311870";COQUEIRAL;"31";MG
"290900";CORDEIROS;"29";BA
"316110";SAO FRANCISCO;"31";MG
"220965";SAO FRANCISCO DE ASSIS DO PIAUI;"22";PI
"330475";SAO FRANCISCO DE ITABAPOANA;"33";RJ
"292920";SAO FRANCISCO DO CONDE;"29";BA
"316140";SAO FRANCISCO DO GLORIA;"31";MG
"211090";SAO FRANCISCO DO MARANHAO;"21";MA
"231220";SANTA QUITERIA;"23";CE
"211020";SANTA RITA;"21";MA
"292840";SANTA RITA DE CASSIA;"29";BA
"521940";SANTA RITA DO ARAGUAIA;"52";GO
"500755";SANTA RITA DO PARDO;"50";MS
"315970";SANTA ROSA DA SERRA;"31";MG
"280650";SANTA ROSA DE LIMA;"28";SE
"220937";SANTA ROSA DO PIAUI;"22";PI
"320460";SANTA TERESA;"32";ES
"421568";SANTA TEREZINHA DO PROGRESSO;"42";SC
"431730";SANTA VITORIA DO PALMAR;"43";RS
"315850";SANTANA DE PIRAPAMA;"31";MG
"231210";SANTANA DO CARIRI;"23";CE
"270800";SANTANA DO IPANEMA;"27";AL
"315890";SANTANA DO MANHUACU;"31";MG
"270810";SANTANA DO MUNDAU;"27";AL
"251360";SANTANA DOS GARROTES;"25";PB
